nome_mun,ibge,faixa_de_porte_populacional_segundo_o_ibge_2022,indice_de_vulnerabilidade_social,ano,desp_final,estimado,tx_mort,tx_inter,inv_tx_mort,inv_tx_inter,tx_sobrev_mort,tx_sobrev_inter,ef_bcc,ef_ccr,ef_scale,v_desp_por_hab,v_tx_mort,v_tx_inter,uf,peer1,mun_ref,peer2,peer3,categorizacao_mort,categorizacao_inter,categorizacao_desp,ef_bcc_corrigido
Passo Fundo,431410,4-Acima de 100mil hab.,4,2022,94977.81498668042,não,424.2063072085489,826.9759129222745,0.00235734354489071,0.00120922506251277,234.73435448907145,119.92250625127792,0.61,0.28,0.459,51313.6792061252,165,595.2,RS,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.6156598000000003
Passo de Camaragibe,270650,1-Até 20mil hab.,1,2022,74043.09058513456,não,583.5367465357929,277.4146296828037,0.00171368813692808,0.00360471256019699,170.36881369280866,359.4712560196993,0.835,0.492,0.589,30378.954805939924,324.3,45.7,AL,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.7645876999999979
Passo de Torres,421225,1-Até 20mil hab.,4,2022,98531.003,não,298.71014333429713,366.29758232099056,0.00334772695978008,0.00273002074887758,333.7726959780085,272.0020748877587,0.867,0.384,0.443,54866.86721944473,39.5,134.5,SC,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.8341569333333354
Passo do Sobrado,431407,1-Até 20mil hab.,4,2022,128691.62433333334,não,473.7752810058211,393.9489623511619,0.00211070530711734,0.00253839988315189,210.0705307117349,252.83998831518957,0.587,0.199,0.339,85027.48855354261,214.5,162.2,RS,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.6010062999999994
Passos,314790,4-Acima de 100mil hab.,4,2022,64569.34367647059,não,439.0006177683608,846.6323590932157,0.00227790112251653,0.00118115022330477,226.7901122516532,117.11502233047749,0.589,0.399,0.677,20905.20789591532,179.8,614.9,MG,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.5963879999999993
Passos Maia,421227,1-Até 20mil hab.,4,2022,128764.05716666668,não,426.62580976131034,1119.380938788012,0.00234397445517767,8.933509275964004e-4,233.39744551776707,88.33509275964003,0.607,0.206,0.339,85099.92138611141,167.4,887.6,SC,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.6115895333333332
Pastos Bons,210800,1-Até 20mil hab.,1,2022,53003.889477530785,sim,399.6247168334387,1929.06486999818,0.00250234772244278,5.183858850744316e-4,249.23477224427896,50.83858850744316,0.648,0.534,0.824,9339.75369697551,140.4,1697.3,MA,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,5% maiores,Entre 5% menores e 5% maiores,0.6133255000000011
Patis,314795,1-Até 20mil hab.,2,2022,52491.63119768251,não,363.06806881054825,446.8034476354489,0.00275430445667147,0.00223812059931979,274.4304456671478,222.81205993197915,0.713,0.593,0.832,8827.495417127231,103.8,215.1,MG,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.7505087333333336
Pato Bragado,411845,1-Até 20mil hab.,5,2022,114360.64466666667,não,571.3187039518821,777.9413359167206,0.00175033653385208,0.00128544397094108,174.03365338520803,127.54439709410826,0.452,0.173,0.383,70696.5088861114,312.1,546.2,PR,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.5336649333333328
Pato Branco,411850,3-Acima de 50mil até 100mil hab.,5,2022,118163.73154958677,não,419.9226208070666,961.4855038750324,0.00238139111934017,0.00104005728216363,237.13911193401745,103.00572821636356,0.616,0.228,0.37,74499.59576905747,160.7,729.7,PR,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.6196640666666673
Patos,251080,4-Acima de 100mil hab.,4,2022,43871.93118913858,não,482.61033503579057,317.65368941193606,0.00207206503343083,0.00314808243484051,206.2065033430831,313.8082434840514,0.729,0.725,0.995,207.795408568906,223.4,85.9,PB,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.6669188333333333
Patos de Minas,314800,4-Acima de 100mil hab.,5,2022,57240.77332404297,não,407.1140227747244,392.55290406390577,0.00245631431013946,0.00254742733946812,244.6314310139466,253.74273394681208,0.636,0.485,0.763,13576.637543487695,147.9,160.8,MG,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.6359215666666665
